,Accession,Year,HC1100 (cgST Cplx),ST,HC2350 (subsp.),HC100,10 SNP Threshold,HC0 (indistinguishable),Clade,100 SNP Threshold,HC2,Sub-Clade,50 SNP Threshold,HC50,HC2000,Lineage,Sub-sub-sub-Clade,5 SNP Threshold,HC400,HC20,HC5,Sub-sub-Clade,HC200,Genotype,HC1500,0 SNP Threshold,250 SNP Threshold,HC10,SNP Address,25 SNP Threshold
698,SRR4787871,2016.0,2820.0,1.0,2820.0,2726.0,59.0,1.0,1656.0,1611.0,10.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,18.0,2816.0,299.0,47.0,614.0,2726.0,306.0,2820.0,9.0,2726.0,210.0,9.0,290.0
699,SRR4787874,2016.0,2820.0,1.0,2820.0,2726.0,59.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,18.0,2816.0,299.0,47.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
701,SRR4787933,2016.0,2820.0,2.0,2820.0,2726.0,59.0,4.0,1656.0,1611.0,10.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,18.0,2816.0,299.0,47.0,614.0,2726.0,306.0,2820.0,9.0,2726.0,210.0,9.0,290.0
702,SRR4788073,2016.0,2820.0,1.0,2820.0,2726.0,59.0,1.0,1656.0,1611.0,10.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,18.0,2816.0,299.0,47.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
704,SRR4788085,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,83.0,1.0,614.0,2726.0,126.0,2820.0,1.0,2726.0,78.0,1.0,77.0
706,SRR4788100,2016.0,2820.0,1.0,2820.0,2726.0,4.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,187.0,13.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
707,SRR4788102,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,2.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,3.0,1.0,3.0
709,SRR4788147,2016.0,2820.0,1.0,2820.0,2726.0,2.0,2.0,1656.0,1611.0,2.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,2.0,2816.0,955.0,2.0,1042.0,2726.0,455.0,2820.0,2.0,2726.0,2.0,2.0,681.0
710,SRR4788150,2016.0,2820.0,1.0,2820.0,2726.0,27.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,83.0,1.0,614.0,2726.0,126.0,2820.0,1.0,2726.0,78.0,1.0,77.0
711,SRR4788154,2016.0,2820.0,1.0,2820.0,2726.0,4.0,1.0,1656.0,1611.0,1.0,1656.0,36.0,1656.0,2820.0,2735.0,614.0,4.0,2816.0,26.0,4.0,614.0,2726.0,127.0,2820.0,2.0,2726.0,13.0,2.0,12.0
712,SRR4788157,2016.0,2820.0,1.0,2820.0,2726.0,107.0,1.0,1656.0,1611.0,47.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,73.0,2816.0,299.0,91.0,614.0,2726.0,306.0,2820.0,6.0,2726.0,210.0,6.0,290.0
714,SRR4788167,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,14.0,1.0,1032.0,9.0,17.0,2820.0,2735.0,734.0,1.0,2816.0,6.0,1.0,734.0,2726.0,17.0,2820.0,1.0,2726.0,1.0,1.0,2.0
715,SRR4788177,2016.0,2820.0,1.0,2820.0,2726.0,66.0,2.0,1032.0,859.0,2.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,45.0,2816.0,72.0,48.0,734.0,2726.0,259.0,2820.0,2.0,2726.0,71.0,2.0,72.0
716,SRR4788208,2016.0,2820.0,1.0,2820.0,2726.0,6.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,187.0,2.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,38.0,1.0,159.0
718,SRR4788227,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,24.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,19.0,1.0,734.0,2726.0,27.0,2820.0,1.0,2726.0,1.0,1.0,1.0
719,SRR4788242,2016.0,2820.0,1.0,2820.0,2726.0,107.0,3.0,1656.0,1611.0,47.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,73.0,2816.0,299.0,91.0,614.0,2726.0,306.0,2820.0,2.0,2726.0,210.0,2.0,290.0
720,SRR4788245,2016.0,2820.0,1.0,2820.0,2726.0,20.0,2.0,1032.0,859.0,13.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,20.0,2816.0,163.0,20.0,185.0,2726.0,165.0,2820.0,2.0,2726.0,93.0,2.0,151.0
721,SRR4788247,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,38.0,38.0,1.0,38.0,12.0,38.0,2820.0,2735.0,38.0,1.0,2816.0,33.0,1.0,38.0,2726.0,38.0,2820.0,1.0,2726.0,1.0,1.0,1.0
722,SRR4788253,2016.0,2820.0,1.0,2820.0,2726.0,3.0,1.0,1032.0,12.0,3.0,1032.0,7.0,1005.0,2820.0,2735.0,734.0,3.0,2816.0,3.0,3.0,734.0,2726.0,49.0,2820.0,1.0,2726.0,3.0,1.0,3.0
723,SRR4788259,2016.0,2820.0,1.0,2820.0,2726.0,6.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,299.0,6.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
725,SRR4788271,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,2.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,2.0,2816.0,955.0,2.0,1042.0,2726.0,455.0,2820.0,2.0,2726.0,2.0,2.0,47.0
726,SRR4788282,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1.0,1.0,1656.0,1.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,1.0,1.0,614.0,2726.0,126.0,2820.0,1.0,2726.0,1.0,1.0,1.0
727,SRR4788283,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,1.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,1.0,1.0,734.0,2726.0,4.0,2820.0,1.0,2726.0,1.0,1.0,1.0
728,SRR4788296,2016.0,2820.0,1.0,2820.0,2726.0,66.0,1.0,1032.0,859.0,2.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,45.0,2816.0,72.0,48.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,71.0,1.0,72.0
729,SRR4788308,2016.0,2820.0,1.0,2820.0,2726.0,17.0,1.0,1032.0,859.0,1.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,2.0,2816.0,163.0,3.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,93.0,1.0,151.0
731,SRR4788343,2016.0,2820.0,4.0,2820.0,2726.0,43.0,5.0,1032.0,859.0,13.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,40.0,2816.0,163.0,44.0,185.0,2726.0,165.0,2820.0,3.0,2726.0,93.0,3.0,151.0
732,SRR4788350,2016.0,2820.0,1.0,2820.0,2726.0,66.0,1.0,1032.0,859.0,4.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,16.0,2816.0,72.0,48.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,71.0,1.0,72.0
733,SRR4788366,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,2.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,2.0,2816.0,955.0,2.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,2.0,1.0,47.0
734,SRR4788369,2016.0,2820.0,1.0,2820.0,2726.0,6.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,6.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,6.0,1.0,34.0
735,SRR4788374,2016.0,2820.0,1.0,2820.0,2726.0,43.0,7.0,1032.0,859.0,19.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,40.0,2816.0,163.0,44.0,185.0,2726.0,165.0,2820.0,2.0,2726.0,93.0,2.0,151.0
736,SRR4897047,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1032.0,859.0,1.0,1032.0,124.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,103.0,2.0,734.0,2726.0,128.0,2820.0,1.0,2726.0,2.0,1.0,2.0
737,SRR4897050,2016.0,2820.0,2.0,2820.0,2726.0,107.0,6.0,1656.0,1611.0,47.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,73.0,2816.0,299.0,91.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
738,SRR4897055,2016.0,2820.0,1.0,2820.0,2726.0,17.0,2.0,1032.0,859.0,12.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,14.0,2816.0,163.0,14.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,93.0,1.0,151.0
739,SRR4897056,2016.0,2820.0,2.0,2820.0,2726.0,5.0,3.0,1656.0,1611.0,3.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,3.0,2816.0,955.0,4.0,1042.0,2726.0,455.0,2820.0,3.0,2726.0,5.0,3.0,12.0
740,SRR4897074,2016.0,2820.0,1.0,2820.0,2726.0,107.0,1.0,1656.0,1611.0,47.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,73.0,2816.0,299.0,91.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
741,SRR4897090,2016.0,2820.0,1.0,2820.0,2726.0,43.0,1.0,1032.0,859.0,19.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,40.0,2816.0,163.0,44.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,93.0,1.0,151.0
742,SRR4897093,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,12.0,1.0,681.0
743,SRR4897113,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,1.0,1.0,1.0
745,SRR4897119,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,26.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,26.0,2.0,734.0,2726.0,95.0,2820.0,1.0,2726.0,2.0,1.0,2.0
747,SRR4897167,2016.0,2820.0,2.0,2820.0,2726.0,4.0,2.0,1656.0,1611.0,4.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,4.0,2816.0,955.0,4.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,4.0,1.0,681.0
749,SRR4897181,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,2.0,1.0,47.0
750,SRR4897185,2016.0,2820.0,1.0,2820.0,2726.0,3.0,1.0,1032.0,859.0,2.0,1032.0,124.0,1005.0,2820.0,2735.0,734.0,3.0,2816.0,103.0,3.0,734.0,2726.0,128.0,2820.0,1.0,2726.0,4.0,1.0,18.0
751,SRR4897194,2016.0,2820.0,2.0,2820.0,2726.0,43.0,5.0,1032.0,859.0,19.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,1.0,2816.0,163.0,44.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,93.0,1.0,151.0
752,SRR4897201,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1032.0,859.0,2.0,1032.0,26.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,26.0,2.0,734.0,2726.0,95.0,2820.0,2.0,2726.0,2.0,2.0,20.0
754,SRR4897213,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,299.0,1.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
755,SRR4897217,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,12.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,10.0,2820.0,1.0,2726.0,1.0,1.0,1.0
756,SRR4897235,2016.0,2820.0,2.0,2820.0,2726.0,5.0,3.0,1656.0,1611.0,3.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,3.0,2816.0,955.0,4.0,1042.0,2726.0,455.0,2820.0,3.0,2726.0,5.0,3.0,12.0
758,SRR4897241,2016.0,2820.0,1.0,2820.0,2726.0,2.0,2.0,1032.0,20.0,2.0,1032.0,7.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,7.0,2.0,734.0,2726.0,21.0,2820.0,2.0,2726.0,4.0,2.0,4.0
759,SRR4897252,2016.0,2820.0,1.0,2820.0,2726.0,5.0,3.0,1656.0,1611.0,4.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,4.0,2816.0,955.0,6.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,7.0,1.0,681.0
760,SRR4897262,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,3.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,13.0,1.0,34.0
761,SRR4897267,2016.0,2820.0,1.0,2820.0,70.0,1.0,1.0,12.0,27.0,1.0,12.0,1.0,6.0,2820.0,78.0,12.0,1.0,2816.0,1.0,1.0,12.0,78.0,1.0,2820.0,1.0,75.0,1.0,1.0,1.0
762,SRR4897275,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1032.0,859.0,1.0,1032.0,2.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,31.0,2.0,734.0,2726.0,38.0,2820.0,1.0,2726.0,2.0,1.0,2.0
763,SRR4897294,2016.0,2820.0,1.0,2820.0,2726.0,107.0,1.0,1656.0,1611.0,47.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,73.0,2816.0,299.0,91.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
764,SRR4897305,2016.0,2820.0,1.0,2820.0,2726.0,19.0,1.0,1032.0,859.0,19.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,19.0,2816.0,163.0,19.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,19.0,1.0,151.0
765,SRR4897306,2016.0,2820.0,4.0,2820.0,2726.0,43.0,5.0,1032.0,859.0,13.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,40.0,2816.0,163.0,44.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,93.0,1.0,151.0
766,SRR4897321,2016.0,2820.0,1.0,2820.0,2726.0,5.0,1.0,1656.0,1611.0,3.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,3.0,2816.0,299.0,5.0,614.0,2726.0,306.0,2820.0,2.0,2726.0,5.0,2.0,290.0
767,SRR4897353,2016.0,2820.0,1.0,2820.0,2726.0,10.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,299.0,10.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
769,SRR4897397,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,22.0,1.0,47.0
770,SRR4897399,2016.0,2820.0,1.0,2820.0,2726.0,59.0,1.0,1656.0,1611.0,12.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,14.0,2816.0,299.0,47.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
772,SRR4897438,2016.0,2820.0,1.0,2820.0,2726.0,4.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,7.0,1.0,12.0
773,SRR4897447,2016.0,2820.0,3.0,2820.0,2726.0,17.0,4.0,1032.0,859.0,13.0,1032.0,26.0,1005.0,2820.0,2735.0,734.0,13.0,2816.0,26.0,16.0,734.0,2726.0,95.0,2820.0,1.0,2726.0,17.0,1.0,20.0
774,SRR4897449,2016.0,2820.0,1.0,2820.0,2726.0,5.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,187.0,2.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,38.0,1.0,159.0
775,SRR4897456,2016.0,2820.0,1.0,2820.0,2726.0,14.0,1.0,1032.0,859.0,8.0,1032.0,14.0,1005.0,2820.0,2735.0,28.0,10.0,2816.0,15.0,14.0,113.0,2726.0,25.0,2820.0,1.0,2726.0,14.0,1.0,14.0
776,SRR4897469,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,8.0,1005.0,2820.0,2735.0,28.0,1.0,2816.0,8.0,1.0,113.0,2726.0,25.0,2820.0,1.0,2726.0,4.0,1.0,6.0
777,SRR4897472,2016.0,2820.0,1.0,2820.0,2726.0,4.0,1.0,1032.0,859.0,1.0,1032.0,124.0,1005.0,2820.0,2735.0,734.0,4.0,2816.0,20.0,4.0,734.0,2726.0,128.0,2820.0,1.0,2726.0,16.0,1.0,20.0
778,SRR4897483,2016.0,2820.0,1.0,2820.0,2726.0,27.0,1.0,1656.0,1611.0,3.0,1656.0,1124.0,1656.0,2820.0,2735.0,614.0,3.0,2816.0,83.0,5.0,614.0,2726.0,126.0,2820.0,1.0,2726.0,78.0,1.0,77.0
779,SRR4897492,2016.0,2820.0,1.0,2820.0,2726.0,4.0,1.0,1032.0,859.0,2.0,1032.0,124.0,1005.0,2820.0,2735.0,734.0,4.0,2816.0,20.0,4.0,734.0,2726.0,128.0,2820.0,2.0,2726.0,16.0,2.0,20.0
780,SRR4897508,2016.0,2820.0,1.0,2820.0,2726.0,11.0,3.0,1032.0,859.0,11.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,10.0,2816.0,187.0,11.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,38.0,1.0,159.0
781,SRR4897525,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,18.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,18.0,2820.0,1.0,2726.0,10.0,1.0,15.0
782,SRR4897527,2016.0,2820.0,1.0,2820.0,2726.0,23.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,16.0,2816.0,187.0,23.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
783,SRR4897529,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,8.0,1.0,10.0
784,SRR4897544,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,4.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,1.0,1.0,734.0,2726.0,38.0,2820.0,1.0,2726.0,1.0,1.0,1.0
785,SRR4897545,2016.0,2820.0,1.0,2820.0,2726.0,19.0,1.0,1032.0,859.0,19.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,19.0,2816.0,163.0,19.0,185.0,2726.0,165.0,2820.0,4.0,2726.0,19.0,4.0,151.0
786,SRR4897574,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,2.0,2816.0,955.0,2.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,2.0,1.0,2.0
787,SRR4897579,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,1.0,1.0,1.0
788,SRR4897609,2016.0,2820.0,3.0,2820.0,2726.0,20.0,3.0,1032.0,859.0,13.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,20.0,2816.0,163.0,20.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,93.0,1.0,151.0
789,SRR4897613,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,1.0,1.0,1032.0,1.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,103.0,18.0,734.0,2726.0,128.0,2820.0,1.0,2726.0,42.0,1.0,1.0
790,SRR4897615,2016.0,2820.0,1.0,2820.0,2726.0,31.0,3.0,1032.0,859.0,3.0,1032.0,124.0,1005.0,2820.0,2735.0,734.0,3.0,2816.0,103.0,18.0,734.0,2726.0,128.0,2820.0,3.0,2726.0,42.0,3.0,47.0
791,SRR4897626,2016.0,2820.0,1.0,2820.0,2726.0,8.0,1.0,1656.0,1611.0,1.0,1656.0,36.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,26.0,8.0,614.0,2726.0,127.0,2820.0,1.0,2726.0,8.0,1.0,8.0
792,SRR4897640,2016.0,2820.0,1.0,2820.0,2726.0,19.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,33.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,31.0,1.0,33.0
794,SRR4897651,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,299.0,1.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,22.0,1.0,290.0
795,SRR4897660,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1032.0,859.0,2.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,187.0,3.0,734.0,2726.0,259.0,2820.0,2.0,2726.0,4.0,2.0,159.0
796,SRR4897662,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,19.0,1.0,1032.0,1.0,1005.0,2820.0,2735.0,20.0,1.0,2816.0,1.0,1.0,185.0,2726.0,20.0,2820.0,1.0,2726.0,1.0,1.0,1.0
797,SRR4897664,2016.0,2820.0,2.0,2820.0,2726.0,43.0,7.0,1032.0,859.0,19.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,40.0,2816.0,163.0,44.0,185.0,2726.0,165.0,2820.0,2.0,2726.0,93.0,2.0,151.0
798,SRR4897672,2016.0,2820.0,1.0,2820.0,2726.0,3.0,1.0,1656.0,43.0,2.0,1656.0,42.0,1656.0,2820.0,2735.0,614.0,3.0,2816.0,44.0,3.0,614.0,2726.0,45.0,2820.0,1.0,2726.0,7.0,1.0,11.0
799,SRR4897684,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,83.0,2.0,614.0,2726.0,126.0,2820.0,1.0,2726.0,78.0,1.0,77.0
800,SRR4897702,2016.0,2820.0,1.0,2820.0,2726.0,27.0,1.0,1656.0,1611.0,14.0,1656.0,1124.0,1656.0,2820.0,2735.0,614.0,16.0,2816.0,83.0,35.0,614.0,2726.0,126.0,2820.0,1.0,2726.0,78.0,1.0,77.0
801,SRR4897713,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,1.0,1.0,1032.0,1.0,1.0,2820.0,2735.0,734.0,1.0,2816.0,1.0,1.0,734.0,2726.0,49.0,2820.0,1.0,2726.0,1.0,1.0,1.0
802,SRR4897715,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,124.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,103.0,1.0,734.0,2726.0,128.0,2820.0,1.0,2726.0,1.0,1.0,18.0
803,SRR4897735,2016.0,2820.0,1.0,2820.0,2726.0,17.0,3.0,1656.0,1611.0,6.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,19.0,10.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,18.0,1.0,681.0
804,SRR4897738,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,12.0,1.0,1032.0,7.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,3.0,1.0,734.0,2726.0,49.0,2820.0,1.0,2726.0,1.0,1.0,1.0
806,SRR4897756,2016.0,2820.0,1.0,2820.0,2726.0,66.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,16.0,2816.0,72.0,48.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,71.0,1.0,72.0
807,SRR4897759,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1032.0,859.0,1.0,1032.0,2.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,31.0,2.0,734.0,2726.0,38.0,2820.0,1.0,2726.0,2.0,1.0,2.0
808,SRR4897766,2016.0,2820.0,1.0,2820.0,2726.0,8.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,4.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,4.0,1.0,681.0
810,SRR4897774,2016.0,2820.0,1.0,2820.0,2726.0,5.0,2.0,1032.0,19.0,2.0,1032.0,18.0,1005.0,2820.0,2735.0,20.0,2.0,2816.0,18.0,2.0,185.0,2726.0,20.0,2820.0,1.0,2726.0,6.0,1.0,6.0
811,SRR4897787,2016.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,2.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,2.0,2816.0,955.0,2.0,1042.0,2726.0,455.0,2820.0,2.0,2726.0,2.0,2.0,681.0
812,SRR4897798,2016.0,2820.0,1.0,2820.0,2726.0,19.0,1.0,1032.0,859.0,19.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,19.0,2816.0,163.0,19.0,185.0,2726.0,165.0,2820.0,2.0,2726.0,19.0,2.0,151.0
813,SRR4897817,2016.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,12.0,1.0,1032.0,7.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,3.0,1.0,734.0,2726.0,49.0,2820.0,1.0,2726.0,1.0,1.0,1.0
814,SRR4897826,2016.0,2820.0,1.0,2820.0,2726.0,107.0,1.0,1656.0,1611.0,47.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,73.0,2816.0,299.0,91.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
