,Accession,Year,HC2000,HC1100 (cgST Cplx),0 SNP Threshold,250 SNP Threshold,HC2350 (subsp.),HC1500,Sub-Clade,100 SNP Threshold,HC50,HC200,HC5,HC2,SNP Address,HC0 (indistinguishable),HC10,Clade,Lineage,5 SNP Threshold,10 SNP Threshold,Sub-sub-Clade,HC400,HC20,Genotype,ST,HC100,25 SNP Threshold,Sub-sub-sub-Clade,50 SNP Threshold
692,SRR4787810,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,5,2,1,1,5,1656,2735,5,5,614,2816,299,306,1,2726,290,614,306
693,SRR4787826,2016,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,5,2,2,2,5,1656,2735,5,5,614,2816,299,306,2,2726,290,614,306
694,SRR4787828,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,13,1,1,1,118,1032,2735,1,1,734,2816,187,259,1,2726,159,734,249
695,SRR4787841,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,185,2816,163,165,1,2726,1,165,164
696,SRR4787849,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,20,13,1,3,93,1032,2735,20,20,185,2816,163,165,3,2726,151,165,164
697,SRR4787852,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,17,1,1,557,1656,2735,24,25,1042,2816,955,557,1,2726,681,557,1124
698,SRR4787871,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,12,1656,2735,1,1,1042,2816,955,455,1,2726,1,455,1124
699,SRR4787874,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,47,12,1,1,210,1656,2735,14,59,614,2816,299,306,1,2726,290,614,306
700,SRR4787884,2016,2820,2820,3,2726,2820,2820,1032,859,1005,2726,41,23,3,7,54,1032,2735,31,53,113,2816,58,49,4,2726,54,54,56
701,SRR4787933,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,18,1,1,1,42,1032,2735,1,31,734,2816,103,128,1,2726,47,734,124
702,SRR4788073,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,11,11,1,3,38,1032,2735,10,11,734,2816,187,259,2,2726,159,734,249
703,SRR4788074,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,17,1,1,557,1656,2735,24,25,1042,2816,955,557,1,2726,681,557,1124
704,SRR4788085,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,20,13,1,1,93,1032,2735,20,20,185,2816,163,165,1,2726,151,165,164
705,SRR4788088,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,48,8,1,1,71,1032,2735,45,66,734,2816,72,259,1,2726,72,734,249
706,SRR4788100,2016,2820,2820,1,2726,2820,2820,1032,20,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,31,38,1,2726,16,734,20
707,SRR4788102,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,12,2,1,1,31,1656,2735,7,19,1042,2816,33,455,1,2726,33,455,1124
708,SRR4788138,2016,2820,2820,3,2726,2820,2820,1032,859,1005,2726,41,23,3,7,54,1032,2735,31,53,113,2816,58,49,4,2726,54,54,56
709,SRR4788147,2016,2820,2820,4,2726,2820,2820,1032,859,1005,2726,14,4,4,3,22,1032,2735,5,20,734,2816,36,36,3,2726,25,734,36
710,SRR4788150,2016,2820,2820,1,2726,2820,2820,1032,1,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,1,49,1,2726,1,734,1
711,SRR4788154,2016,2820,2820,1,2726,2820,2820,1032,26,1005,2726,1,1,1,1,3,1032,2735,1,3,734,2816,10,27,1,2726,5,734,10
712,SRR4788157,2016,2820,2820,1,75,2820,2820,20,2,2,78,2,2,1,2,2,20,78,1,1,20,2816,2,20,2,70,2,20,2
713,SRR4788159,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,2,1,1,1,71,1032,2735,2,2,734,2816,72,259,1,2726,72,734,249
714,SRR4788167,2016,2820,2820,1,2726,2820,2820,1032,19,1005,2726,9,1,1,1,12,1032,2735,7,7,185,2816,18,20,1,2726,12,20,18
715,SRR4788177,2016,2820,2820,11,2726,2820,2820,1032,859,1005,2726,23,14,11,2,118,1032,2735,16,23,734,2816,187,259,2,2726,159,734,249
716,SRR4788208,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,614,2816,2,127,1,2726,1,614,9
717,SRR4788223,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,48,8,1,2,71,1032,2735,45,66,734,2816,72,259,1,2726,72,734,249
718,SRR4788227,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,3,1656,2735,1,1,1042,2816,955,455,1,2726,3,455,1124
719,SRR4788242,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,7,1,1,1,22,1656,2735,1,1,1042,2816,955,455,1,2726,47,455,1124
720,SRR4788245,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,614,2816,299,306,1,2726,290,614,306
721,SRR4788247,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,1,1,1,2,1656,2735,1,2,614,2816,299,306,1,2726,290,614,306
722,SRR4788253,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,10,6,1,1,18,1656,2735,7,17,1042,2816,19,455,1,2726,681,455,1124
723,SRR4788259,2016,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,5,3,2,1,6,1656,2735,5,5,1042,2816,955,455,1,2726,681,455,1124
724,SRR4788269,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,41,23,1,1,54,1032,2735,31,53,113,2816,58,49,1,2726,54,54,56
725,SRR4788271,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,4,1,1,1,4,1656,2735,1,3,1042,2816,955,455,1,2726,681,455,1124
726,SRR4788282,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,10,1,1,1,210,1656,2735,1,10,614,2816,299,306,1,2726,290,614,306
727,SRR4788283,2016,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,5,3,2,2,22,1656,2735,3,5,614,2816,299,306,1,2726,290,614,306
728,SRR4788296,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,10,1656,2735,1,1,1042,2816,955,18,1,2726,15,18,1124
729,SRR4788308,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,1,4,1,2726,1,734,1
730,SRR4788326,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,48,5,1,1,71,1032,2735,5,66,734,2816,72,259,1,2726,72,734,249
731,SRR4788343,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,7,3,1,1,13,1656,2735,4,7,614,2816,26,127,1,2726,12,614,36
732,SRR4788350,2016,2820,2820,4,2726,2820,2820,1032,859,1005,2726,11,11,4,6,13,1032,2735,11,11,734,2816,103,128,5,2726,18,734,124
733,SRR4788366,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,23,14,1,1,118,1032,2735,16,23,734,2816,187,259,1,2726,159,734,249
734,SRR4788369,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,35,2,1,2,78,1656,2735,2,2,614,2816,83,126,1,2726,77,614,1124
735,SRR4788374,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,35,2,1,2,78,1656,2735,2,2,614,2816,83,126,1,2726,77,614,1124
736,SRR4897047,2016,2820,2820,3,2726,2820,2820,1656,1611,1656,2726,4,4,3,3,4,1656,2735,4,4,614,2816,299,306,2,2726,4,614,306
737,SRR4897050,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,23,14,1,1,118,1032,2735,16,23,734,2816,187,259,1,2726,159,734,249
738,SRR4897055,2016,2820,2820,3,2726,2820,2820,1656,1611,1656,2726,5,4,3,4,5,1656,2735,4,5,614,2816,299,306,1,2726,290,614,306
739,SRR4897056,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,11,11,1,1,13,1032,2735,11,11,734,2816,103,128,1,2726,18,734,124
740,SRR4897074,2016,2820,2820,1,2726,2820,2820,1032,19,1005,2726,1,1,1,1,4,1032,2735,1,1,734,2816,5,49,1,2726,4,734,5
741,SRR4897090,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,2,1,2,2,1656,2735,2,2,614,2816,2,126,1,2726,2,614,2
742,SRR4897093,2016,2820,2820,2,2726,2820,2820,1032,859,1005,2726,20,13,2,2,93,1032,2735,20,20,185,2816,163,165,1,2726,151,165,164
743,SRR4897113,2016,2820,2820,1,2726,2820,2820,38,38,38,2726,4,1,1,1,5,38,2735,4,4,38,2816,33,38,1,2726,11,38,18
744,SRR4897118,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,1,1,1,557,1656,2735,1,473,1042,2816,955,557,1,2726,681,557,1124
745,SRR4897119,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,2,1,2,2,1656,2735,2,2,1042,2816,955,455,1,2726,2,455,1124
746,SRR4897131,2016,2820,2820,3,2726,2820,2820,1656,1611,1656,2726,17,17,3,8,557,1656,2735,24,25,1042,2816,955,557,8,2726,681,557,1124
747,SRR4897167,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,3,1656,2735,1,1,1042,2816,955,455,1,2726,3,455,1124
748,SRR4897179,2016,2820,2820,6,2726,2820,2820,1656,1611,1656,2726,17,17,6,2,557,1656,2735,24,25,1042,2816,955,557,1,2726,681,557,1124
749,SRR4897181,2016,2820,2820,1,2726,2820,2820,38,38,38,2726,3,2,1,2,3,38,2735,2,2,38,2816,33,38,2,2726,3,38,12
750,SRR4897185,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,10,1656,2735,1,1,1042,2816,955,18,1,2726,15,18,1124
751,SRR4897194,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,3,1,1,1,7,1656,2735,1,4,1042,2816,955,455,1,2726,12,455,1124
752,SRR4897201,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,2,1,2726,1,12,1124
753,SRR4897212,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,163,1,1,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
754,SRR4897213,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,2,1032,2735,1,1,734,2816,103,128,1,2726,1,734,124
755,SRR4897217,2016,2820,2820,3,2726,2820,2820,1656,1611,1656,2726,5,4,3,4,5,1656,2735,4,5,614,2816,299,306,3,2726,290,614,306
756,SRR4897235,2016,2820,2820,1,2726,2820,2820,1656,43,1656,2726,1,1,1,1,1,1656,2735,1,1,614,2816,1,45,1,2726,1,614,1
757,SRR4897238,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,41,23,1,2,54,1032,2735,31,53,113,2816,58,49,2,2726,54,54,56
758,SRR4897241,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,6,3,1,1,210,1656,2735,4,6,614,2816,299,306,1,2726,290,614,306
759,SRR4897252,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,14,1,1,1,22,1032,2735,5,20,734,2816,36,36,1,2726,25,734,36
760,SRR4897262,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,93,1032,2735,1,1,185,2816,163,165,1,2726,151,165,164
761,SRR4897267,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,1,455,1124
762,SRR4897275,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,2,2,1,1,2,1032,2735,2,2,734,2816,6,8,1,2726,6,734,6
763,SRR4897294,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,47,12,1,1,210,1656,2735,14,59,614,2816,299,306,1,2726,290,614,306
764,SRR4897305,2016,2820,2820,5,2726,2820,2820,1656,1611,1656,2726,14,8,5,2,69,1656,2735,5,14,614,2816,91,127,2,2726,77,614,79
765,SRR4897306,2016,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,10,6,2,3,18,1656,2735,7,17,1042,2816,19,455,1,2726,681,455,1124
766,SRR4897321,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,1,455,1124
767,SRR4897353,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,12,1032,2735,1,1,734,2816,19,95,1,2726,15,734,21
768,SRR4897357,2016,2820,2820,3,2726,2820,2820,1656,1611,1656,2726,17,17,3,8,557,1656,2735,24,25,1042,2816,955,557,8,2726,681,557,1124
769,SRR4897397,2016,2820,2820,1,2726,2820,2820,1032,14,17,2726,2,1,1,1,2,1032,2735,1,1,734,2816,4,17,1,2726,4,734,4
770,SRR4897399,2016,2820,2820,1,2726,2820,2820,1032,19,1005,2726,2,2,1,1,2,1032,2735,2,2,734,2816,4,49,1,2726,2,734,7
771,SRR4897422,2016,2820,2820,2,2726,2820,2820,1032,859,1005,2726,41,23,2,1,54,1032,2735,31,53,113,2816,58,49,1,2726,54,54,56
772,SRR4897438,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,10,6,1,1,10,1656,2735,10,10,614,2816,91,127,1,2726,10,614,36
773,SRR4897447,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,5,1,1,1,93,1032,2735,1,1,185,2816,163,165,1,2726,151,165,164
774,SRR4897449,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,1,455,1124
775,SRR4897456,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,12,1,1,1,31,1656,2735,7,19,1042,2816,33,455,1,2726,33,455,1124
776,SRR4897469,2016,2820,2820,2,2726,2820,2820,38,38,38,2726,5,3,2,3,6,38,2735,3,5,38,2816,33,38,3,2726,11,38,18
777,SRR4897472,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,3,1,1,1,3,1656,2735,1,2,1042,2816,955,455,1,2726,681,455,1124
778,SRR4897483,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,1,1,1,3,1656,2735,1,1,1042,2816,955,455,1,2726,3,455,1124
779,SRR4897492,2016,2820,2820,1,75,2820,2820,14,9,9,78,1,1,1,1,1,14,78,1,1,14,2816,4,9,1,70,1,14,4
780,SRR4897508,2016,2820,2820,1,2726,2820,2820,1032,19,1005,2726,2,2,1,1,4,1032,2735,2,2,734,2816,5,49,1,2726,4,734,5
781,SRR4897525,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,614,2816,1,306,1,2726,1,614,306
782,SRR4897527,2016,2820,2820,1,2726,2820,2820,38,38,38,2726,3,2,1,2,3,38,2735,2,2,38,2816,33,38,2,2726,3,38,12
783,SRR4897529,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,5,1,1,1,5,1032,2735,1,3,734,2816,7,7,1,2726,7,734,7
784,SRR4897544,2016,2820,2820,3,2726,2820,2820,1656,1611,1656,2726,4,4,3,3,4,1656,2735,4,4,614,2816,299,306,2,2726,4,614,306
785,SRR4897545,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,10,6,1,1,10,1656,2735,10,10,614,2816,91,127,1,2726,10,614,36
786,SRR4897574,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,2,1,1,1,2,1032,2735,2,2,734,2816,36,36,1,2726,25,734,36
787,SRR4897579,2016,2820,2820,1,2726,2820,2820,1656,43,1656,2726,5,3,1,1,5,1656,2735,3,4,614,2816,44,45,1,2726,11,614,42
788,SRR4897609,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,681,455,1124
789,SRR4897613,2016,2820,2820,11,2726,2820,2820,1032,859,1005,2726,23,14,11,7,118,1032,2735,16,23,734,2816,187,259,7,2726,159,734,249
790,SRR4897615,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,4,2,1,2,20,1656,2735,2,8,1042,2816,955,455,1,2726,20,455,1124
791,SRR4897626,2016,2820,2820,4,2726,2820,2820,1032,859,1005,2726,14,4,4,3,22,1032,2735,5,20,734,2816,36,36,3,2726,25,734,36
792,SRR4897640,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,11,11,1,1,13,1032,2735,11,11,734,2816,103,128,1,2726,18,734,124
793,SRR4897644,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,48,7,1,1,71,1032,2735,45,66,734,2816,72,259,1,2726,72,734,249
794,SRR4897651,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,1,1,1,4,1656,2735,2,3,1042,2816,955,455,1,2726,681,455,1124
795,SRR4897660,2016,2820,2820,1,2726,2820,2820,1656,43,1656,2726,3,2,1,1,7,1656,2735,3,3,614,2816,44,45,1,2726,11,614,42
796,SRR4897662,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,16,1,1,1,17,1032,2735,2,17,734,2816,26,95,1,2726,20,734,26
797,SRR4897664,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,4,1,1,1,4,1656,2735,1,1,1042,2816,955,455,1,2726,681,455,1124
798,SRR4897672,2016,2820,2820,1,2726,2820,2820,1032,20,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,31,38,1,2726,16,734,20
799,SRR4897684,2016,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,47,12,2,2,210,1656,2735,14,59,614,2816,299,306,2,2726,290,614,306
800,SRR4897702,2016,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,2,2,2,2,2,1656,2735,2,2,1042,2816,955,455,2,2726,2,455,1124
801,SRR4897713,2016,2820,2820,1,2726,2820,2820,1032,19,1005,2726,1,1,1,1,3,1032,2735,1,1,734,2816,5,49,1,2726,3,734,5
802,SRR4897715,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,10,1656,2735,1,3,1042,2816,955,18,1,2726,15,18,1124
803,SRR4897735,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,38,1032,2735,1,1,734,2816,187,259,1,2726,159,734,249
804,SRR4897738,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,47,12,1,1,210,1656,2735,14,59,614,2816,299,306,1,2726,290,614,306
805,SRR4897747,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,41,23,1,1,54,1032,2735,31,53,113,2816,58,49,1,2726,54,54,56
806,SRR4897756,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,6,3,1,3,210,1656,2735,3,11,614,2816,299,306,2,2726,290,614,306
807,SRR4897759,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,47,12,1,1,210,1656,2735,14,59,614,2816,299,306,1,2726,290,614,306
808,SRR4897766,2016,2820,2820,1,2726,2820,2820,38,38,38,2726,1,1,1,1,5,38,2735,1,1,38,2816,33,38,1,2726,11,38,18
809,SRR4897770,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,17,1,2,557,1656,2735,24,25,1042,2816,955,557,1,2726,681,557,1124
810,SRR4897774,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,11,11,1,1,38,1032,2735,10,11,734,2816,187,259,1,2726,159,734,249
811,SRR4897787,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,11,11,1,1,13,1032,2735,11,11,734,2816,103,128,1,2726,18,734,124
812,SRR4897798,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,103,128,1,2726,47,734,124
813,SRR4897817,2016,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,2,2,2,2,10,1656,2735,2,3,1042,2816,955,18,1,2726,15,18,1124
814,SRR4897826,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,4,455,1124
815,SRR4897831,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,7,3,1,1,13,1656,2735,4,7,614,2816,26,127,1,2726,12,614,36
816,SRR5005260,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,3,3,1,1,3,1656,2735,3,3,1042,2816,955,455,1,2726,3,455,1124
817,SRR5005272,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,2,1656,2735,1,1,1042,2816,3,455,1,2726,681,455,1124
818,SRR5005282,2016,2820,2820,6,2726,2820,2820,1656,1611,1656,2726,17,17,6,8,557,1656,2735,24,25,1042,2816,955,557,8,2726,681,557,1124
819,SRR5005288,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,93,1032,2735,1,1,185,2816,163,165,1,2726,151,165,164
820,SRR5005331,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,1,455,1124
821,SRR5005341,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,6,1,1,1,210,1656,2735,8,11,614,2816,299,306,1,2726,290,614,306
822,SRR5005344,2016,2820,2820,1,2726,2820,2820,1032,19,1005,2726,9,2,1,1,12,1032,2735,2,2,185,2816,18,20,1,2726,12,20,18
823,SRR5005348,2016,2820,2820,6,2726,2820,2820,1656,1611,1656,2726,17,17,6,8,557,1656,2735,24,25,1042,2816,955,557,8,2726,681,557,1124
824,SRR5005355,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,20,13,1,1,93,1032,2735,20,20,185,2816,163,165,1,2726,151,165,164
825,SRR5005407,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,41,23,1,3,54,1032,2735,31,53,113,2816,58,5,3,2726,54,54,56
826,SRR5005421,2016,2820,2820,1,2726,2820,2820,1032,19,1005,2726,1,1,1,1,2,1032,2735,1,1,734,2816,4,49,1,2726,2,734,7
827,SRR5005423,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,5,3,1,1,93,1032,2735,2,4,185,2816,163,165,1,2726,151,165,164
828,SRR5005435,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,78,1656,2735,2,2,614,2816,83,126,1,2726,77,614,1124
829,SRR5005438,2016,2820,2820,1,2726,2820,2820,1656,43,1656,2726,2,2,1,2,7,1656,2735,2,2,614,2816,44,45,2,2726,11,614,42
830,SRR5005495,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,6,2,1,1,16,1032,2735,2,2,734,2816,20,128,1,2726,20,734,124
831,SRR5005501,2016,2820,2820,2,2726,2820,2820,1032,859,1005,2726,41,23,2,1,54,1032,2735,31,53,113,2816,58,49,1,2726,54,54,56
832,SRR5005508,2016,2820,2820,1,2726,2820,2820,1032,19,1005,2726,9,2,1,1,12,1032,2735,2,2,185,2816,18,20,1,2726,12,20,18
833,SRR5005517,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,4,1,1,1,20,1656,2735,1,8,1042,2816,955,455,1,2726,20,455,1124
834,SRR5005522,2016,2820,2820,4,2726,2820,2820,1032,859,1005,2726,48,7,4,2,71,1032,2735,45,66,734,2816,72,259,1,2726,72,734,249
835,SRR5005537,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,113,2816,2,25,1,2726,1,28,2
836,SRR5005538,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,2,1656,2735,1,1,1042,2816,955,455,1,2726,2,455,1124
837,SRR5005556,2016,2820,2820,11,2726,2820,2820,1032,859,1005,2726,23,14,11,2,118,1032,2735,16,23,734,2816,187,259,1,2726,159,734,249
838,SRR5005563,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,17,1,8,557,1656,2735,24,25,1042,2816,955,557,8,2726,681,557,1124
839,SRR5005606,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,14,8,1,1,14,1032,2735,10,14,113,2816,15,25,1,2726,14,28,14
840,SRR5006059,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,29,1032,2735,1,1,113,2816,29,29,1,2726,29,31,29
841,SRR5006081,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,3,1656,2735,1,1,1042,2816,955,455,1,2726,1,455,1124
842,SRR5006086,2016,2820,2820,4,2726,2820,2820,1032,859,1005,2726,14,4,4,1,22,1032,2735,5,20,734,2816,36,36,1,2726,25,734,36
843,SRR5006096,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,2,8,1,2726,1,734,2
844,SRR5006235,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,10,1656,2735,1,1,1042,2816,955,18,1,2726,15,18,1124
845,SRR5006242,2016,2820,2820,11,2726,2820,2820,1032,859,1005,2726,23,14,11,7,118,1032,2735,16,23,734,2816,187,259,7,2726,159,734,249
846,SRR5006243,2016,2820,2820,1,2726,2820,2820,1032,26,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,4,27,1,2726,1,734,4
847,SRR5006329,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,3,1,1,1,93,1032,2735,2,17,185,2816,163,165,1,2726,151,165,164
848,SRR5006338,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,6,1,1,1,210,1656,2735,4,6,614,2816,299,306,1,2726,290,614,306
849,SRR5006341,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,2,1,1,1,2,1032,2735,2,2,734,2816,36,36,1,2726,25,734,36
850,SRR5006346,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,3,1,1,1,4,1032,2735,1,1,734,2816,187,259,1,2726,159,734,249
851,SRR5006352,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,6,2,1,1,16,1032,2735,2,2,734,2816,20,128,1,2726,20,734,124
852,SRR5006355,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,1,1,1,9,1656,2735,1,4,1042,2816,955,455,1,2726,681,455,1124
853,SRR5006356,2016,2820,2820,4,2726,2820,2820,1656,1611,1656,2726,4,4,4,1,5,1656,2735,4,4,614,2816,7,127,1,2726,7,614,9
854,SRR5006358,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,17,1,1,557,1656,2735,24,25,1042,2816,955,557,1,2726,681,557,1124
855,SRR5006365,2016,2820,2820,1,2726,2820,2820,1656,43,1656,2726,2,2,1,2,7,1656,2735,2,2,614,2816,44,45,2,2726,11,614,42
856,SRR5006371,2016,2820,2820,4,2726,2820,2820,1032,859,1005,2726,48,7,4,2,71,1032,2735,45,66,734,2816,72,259,1,2726,72,734,249
857,SRR5006384,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,2,1,1,12,1656,2735,2,2,1042,2816,955,455,1,2726,4,455,1124
858,SRR5006385,2016,2820,2820,1,2726,2820,2820,1032,859,1005,2726,48,8,1,1,71,1032,2735,45,66,734,2816,72,259,1,2726,72,734,249
859,SRR5006400,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,614,2816,7,127,1,2726,7,614,9
860,SRR5006415,2016,2820,2820,1,2726,2820,2820,1032,3,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,2,4,1,2726,1,734,2
861,SRR5006418,2016,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,2,1656,2735,1,1,1042,2816,955,455,1,2726,681,455,1124
