,Rows:Columns,Difference,Pecentage difference,Frequency excess columns,Number of excess columns,Average excess
5 SNP Threshold - HC1100 (cgST Cplx),1276:1,1275,0.9992163009404389,0,0,na
5 SNP Threshold - HC1500,1276:1,1275,0.9992163009404389,0,0,na
5 SNP Threshold - HC2000,1276:1,1275,0.9992163009404389,0,0,na
5 SNP Threshold - HC2350 (subsp.),1276:1,1275,0.9992163009404389,0,0,na
0 SNP Threshold - Genotype,2250:60,2190,0.9733333333333334,1,2,2.0
0 SNP Threshold - Lineage,2250:4,2246,0.9982222222222222,0,0,na
0 SNP Threshold - Clade,2250:10,2240,0.9955555555555555,1,2,2.0
0 SNP Threshold - Sub-Clade,2250:24,2226,0.9893333333333333,1,2,2.0
0 SNP Threshold - Sub-sub-Clade,2250:3,2247,0.9986666666666667,1,2,2.0
0 SNP Threshold - Sub-sub-sub-Clade,2250:5,2245,0.9977777777777778,1,2,2.0
0 SNP Threshold - SNP Address,2250:2250,0,na,0,0,na
0 SNP Threshold - 250 SNP Threshold,2250:7,2243,0.9968888888888889,0,0,na
0 SNP Threshold - 100 SNP Threshold,2250:61,2189,0.9728888888888889,0,0,na
0 SNP Threshold - 50 SNP Threshold,2250:191,2059,0.9151111111111111,0,0,na
0 SNP Threshold - 25 SNP Threshold,2250:465,1785,0.7933333333333333,0,0,na
0 SNP Threshold - 10 SNP Threshold,2250:958,1292,0.5742222222222222,0,0,na
0 SNP Threshold - 5 SNP Threshold,2250:1276,974,0.4328888888888889,0,0,na
0 SNP Threshold - ST,2250:2656,406,0.15286144578313254,261,737,2.8237547892720305
0 SNP Threshold - HC0 (indistinguishable),2250:2289,39,0.01703800786369594,165,410,2.484848484848485
0 SNP Threshold - HC2,2250:1489,761,0.3382222222222222,32,65,2.03125
0 SNP Threshold - HC5,2250:1030,1220,0.5422222222222223,6,12,2.0
0 SNP Threshold - HC10,2250:607,1643,0.7302222222222222,3,6,2.0
0 SNP Threshold - HC20,2250:217,2033,0.9035555555555556,1,2,2.0
0 SNP Threshold - HC50,2250:33,2217,0.9853333333333333,1,2,2.0
0 SNP Threshold - HC100,2250:11,2239,0.9951111111111111,0,0,na
0 SNP Threshold - HC200,2250:6,2244,0.9973333333333333,0,0,na
0 SNP Threshold - HC400,2250:2,2248,0.9991111111111111,0,0,na
0 SNP Threshold - HC1100 (cgST Cplx),2250:1,2249,0.9995555555555555,0,0,na
0 SNP Threshold - HC1500,2250:1,2249,0.9995555555555555,0,0,na
0 SNP Threshold - HC2000,2250:1,2249,0.9995555555555555,0,0,na
0 SNP Threshold - HC2350 (subsp.),2250:1,2249,0.9995555555555555,0,0,na
ST - Genotype,2656:60,2596,0.9774096385542169,0,0,na
ST - Lineage,2656:4,2652,0.9984939759036144,0,0,na
ST - Clade,2656:10,2646,0.9962349397590361,0,0,na
ST - Sub-Clade,2656:24,2632,0.9909638554216867,0,0,na
ST - Sub-sub-Clade,2656:3,2653,0.9988704819277109,0,0,na
ST - Sub-sub-sub-Clade,2656:5,2651,0.9981174698795181,0,0,na
ST - SNP Address,2656:2250,406,0.15286144578313254,53,123,2.3207547169811322
ST - 250 SNP Threshold,2656:7,2649,0.9973644578313253,0,0,na
ST - 100 SNP Threshold,2656:61,2595,0.9770331325301205,0,0,na
ST - 50 SNP Threshold,2656:191,2465,0.9280873493975904,2,4,2.0
ST - 25 SNP Threshold,2656:465,2191,0.8249246987951807,2,4,2.0
ST - 10 SNP Threshold,2656:958,1698,0.6393072289156626,3,6,2.0
ST - 5 SNP Threshold,2656:1276,1380,0.5195783132530121,4,8,2.0
ST - 0 SNP Threshold,2656:2250,406,0.15286144578313254,53,123,2.3207547169811322
ST - HC0 (indistinguishable),2656:2289,367,0.1381777108433735,0,0,na
ST - HC2,2656:1489,1167,0.43938253012048195,0,0,na
ST - HC5,2656:1030,1626,0.6121987951807228,0,0,na
ST - HC10,2656:607,2049,0.771460843373494,0,0,na
ST - HC20,2656:217,2439,0.9182981927710844,0,0,na
ST - HC50,2656:33,2623,0.9875753012048193,0,0,na
ST - HC100,2656:11,2645,0.9958584337349398,0,0,na
ST - HC200,2656:6,2650,0.9977409638554217,0,0,na
ST - HC400,2656:2,2654,0.9992469879518072,0,0,na
ST - HC1100 (cgST Cplx),2656:1,2655,0.9996234939759037,0,0,na
ST - HC1500,2656:1,2655,0.9996234939759037,0,0,na
ST - HC2000,2656:1,2655,0.9996234939759037,0,0,na
ST - HC2350 (subsp.),2656:1,2655,0.9996234939759037,0,0,na
HC0 (indistinguishable) - Genotype,2289:60,2229,0.9737876802096985,0,0,na
HC0 (indistinguishable) - Lineage,2289:4,2285,0.9982525120139799,0,0,na
HC0 (indistinguishable) - Clade,2289:10,2279,0.9956312800349497,0,0,na
HC0 (indistinguishable) - Sub-Clade,2289:24,2265,0.9895150720838795,0,0,na
HC0 (indistinguishable) - Sub-sub-Clade,2289:3,2286,0.9986893840104849,0,0,na
HC0 (indistinguishable) - Sub-sub-sub-Clade,2289:5,2284,0.9978156400174749,0,0,na
HC0 (indistinguishable) - SNP Address,2289:2250,39,0.01703800786369594,138,344,2.4927536231884058
HC0 (indistinguishable) - 250 SNP Threshold,2289:7,2282,0.9969418960244648,0,0,na
HC0 (indistinguishable) - 100 SNP Threshold,2289:61,2228,0.9733508082131935,2,4,2.0
HC0 (indistinguishable) - 50 SNP Threshold,2289:191,2098,0.9165574486675404,5,10,2.0
HC0 (indistinguishable) - 25 SNP Threshold,2289:465,1824,0.7968545216251638,6,12,2.0
HC0 (indistinguishable) - 10 SNP Threshold,2289:958,1331,0.581476627348187,7,14,2.0
HC0 (indistinguishable) - 5 SNP Threshold,2289:1276,1013,0.44255133245958933,17,35,2.0588235294117645
HC0 (indistinguishable) - 0 SNP Threshold,2289:2250,39,0.01703800786369594,138,344,2.4927536231884058
HC0 (indistinguishable) - ST,2289:2656,367,0.1381777108433735,209,576,2.7559808612440193
HC0 (indistinguishable) - HC2,2289:1489,800,0.34949759720401924,0,0,na
HC0 (indistinguishable) - HC5,2289:1030,1259,0.5500218435998252,0,0,na
HC0 (indistinguishable) - HC10,2289:607,1682,0.7348186981214504,0,0,na
HC0 (indistinguishable) - HC20,2289:217,2072,0.9051987767584098,0,0,na
HC0 (indistinguishable) - HC50,2289:33,2256,0.9855832241153342,0,0,na
HC0 (indistinguishable) - HC100,2289:11,2278,0.9951944080384447,0,0,na
HC0 (indistinguishable) - HC200,2289:6,2283,0.9973787680209698,0,0,na
HC0 (indistinguishable) - HC400,2289:2,2287,0.9991262560069899,0,0,na
HC0 (indistinguishable) - HC1100 (cgST Cplx),2289:1,2288,0.999563128003495,0,0,na
HC0 (indistinguishable) - HC1500,2289:1,2288,0.999563128003495,0,0,na
HC0 (indistinguishable) - HC2000,2289:1,2288,0.999563128003495,0,0,na
HC0 (indistinguishable) - HC2350 (subsp.),2289:1,2288,0.999563128003495,0,0,na
HC2 - Genotype,1489:60,1429,0.9597044996642041,1,2,2.0
HC2 - Lineage,1489:4,1485,0.9973136333109469,0,0,na
HC2 - Clade,1489:10,1479,0.9932840832773674,0,0,na
HC2 - Sub-Clade,1489:24,1465,0.9838817998656817,0,0,na
HC2 - Sub-sub-Clade,1489:3,1486,0.9979852249832102,0,0,na
HC2 - Sub-sub-sub-Clade,1489:5,1484,0.9966420416386836,0,0,na
HC2 - SNP Address,1489:2250,761,0.3382222222222222,235,1029,4.378723404255319
HC2 - 250 SNP Threshold,1489:7,1482,0.9952988582941572,0,0,na
HC2 - 100 SNP Threshold,1489:61,1428,0.9590329079919409,5,10,2.0
HC2 - 50 SNP Threshold,1489:191,1298,0.8717259905977166,9,18,2.0
HC2 - 25 SNP Threshold,1489:465,1024,0.6877098723975823,11,23,2.090909090909091
HC2 - 10 SNP Threshold,1489:958,531,0.35661517797179315,17,35,2.0588235294117645
HC2 - 5 SNP Threshold,1489:1276,213,0.1430490261920752,48,118,2.4583333333333335
HC2 - 0 SNP Threshold,1489:2250,761,0.3382222222222222,235,1029,4.378723404255319
HC2 - ST,1489:2656,1167,0.43938253012048195,294,1461,4.969387755102041
HC2 - HC0 (indistinguishable),1489:2289,800,0.34949759720401924,237,1037,4.375527426160337
HC2 - HC5,1489:1030,459,0.3082605775688381,2,4,2.0
HC2 - HC10,1489:607,882,0.5923438549361988,0,0,na
HC2 - HC20,1489:217,1272,0.8542646071188718,0,0,na
HC2 - HC50,1489:33,1456,0.9778374748153122,0,0,na
HC2 - HC100,1489:11,1478,0.9926124916051041,0,0,na
HC2 - HC200,1489:6,1483,0.9959704499664204,0,0,na
HC2 - HC400,1489:2,1487,0.9986568166554735,0,0,na
HC2 - HC1100 (cgST Cplx),1489:1,1488,0.9993284083277367,0,0,na
HC2 - HC1500,1489:1,1488,0.9993284083277367,0,0,na
HC2 - HC2000,1489:1,1488,0.9993284083277367,0,0,na
HC2 - HC2350 (subsp.),1489:1,1488,0.9993284083277367,0,0,na
HC5 - Genotype,1030:60,970,0.941747572815534,1,2,2.0
HC5 - Lineage,1030:4,1026,0.996116504854369,0,0,na
HC5 - Clade,1030:10,1020,0.9902912621359223,0,0,na
HC5 - Sub-Clade,1030:24,1006,0.9766990291262136,0,0,na
HC5 - Sub-sub-Clade,1030:3,1027,0.9970873786407767,0,0,na
HC5 - Sub-sub-sub-Clade,1030:5,1025,0.9951456310679612,0,0,na
HC5 - SNP Address,1030:2250,1220,0.5422222222222223,248,1474,5.943548387096774
HC5 - 250 SNP Threshold,1030:7,1023,0.9932038834951457,0,0,na
HC5 - 100 SNP Threshold,1030:61,969,0.9407766990291262,7,14,2.0
HC5 - 50 SNP Threshold,1030:191,839,0.8145631067961165,14,28,2.0
HC5 - 25 SNP Threshold,1030:465,565,0.5485436893203883,18,37,2.0555555555555554
HC5 - 10 SNP Threshold,1030:958,72,0.06990291262135923,57,138,2.4210526315789473
HC5 - 5 SNP Threshold,1030:1276,246,0.19278996865203762,133,427,3.210526315789474
HC5 - 0 SNP Threshold,1030:2250,1220,0.5422222222222223,248,1474,5.943548387096774
HC5 - ST,1030:2656,1626,0.6121987951807228,278,1904,6.848920863309353
HC5 - HC0 (indistinguishable),1030:2289,1259,0.5500218435998252,251,1510,6.01593625498008
HC5 - HC2,1030:1489,459,0.3082605775688381,165,626,3.793939393939394
HC5 - HC10,1030:607,423,0.41067961165048544,0,0,na
HC5 - HC20,1030:217,813,0.7893203883495146,0,0,na
HC5 - HC50,1030:33,997,0.9679611650485437,0,0,na
HC5 - HC100,1030:11,1019,0.9893203883495145,0,0,na
HC5 - HC200,1030:6,1024,0.9941747572815534,0,0,na
HC5 - HC400,1030:2,1028,0.9980582524271845,0,0,na
HC5 - HC1100 (cgST Cplx),1030:1,1029,0.9990291262135922,0,0,na
HC5 - HC1500,1030:1,1029,0.9990291262135922,0,0,na
HC5 - HC2000,1030:1,1029,0.9990291262135922,0,0,na
HC5 - HC2350 (subsp.),1030:1,1029,0.9990291262135922,0,0,na
HC10 - Genotype,607:60,547,0.9011532125205931,1,2,2.0
HC10 - Lineage,607:4,603,0.9934102141680395,0,0,na
HC10 - Clade,607:10,597,0.9835255354200988,0,0,na
HC10 - Sub-Clade,607:24,583,0.9604612850082372,0,0,na
HC10 - Sub-sub-Clade,607:3,604,0.9950576606260296,0,0,na
HC10 - Sub-sub-sub-Clade,607:5,602,0.9917627677100495,0,0,na
HC10 - SNP Address,607:2250,1643,0.7302222222222222,211,1857,8.800947867298579
HC10 - 250 SNP Threshold,607:7,600,0.9884678747940692,0,0,na
HC10 - 100 SNP Threshold,607:61,546,0.899505766062603,9,20,2.2222222222222223
HC10 - 50 SNP Threshold,607:191,416,0.685337726523888,15,35,2.3333333333333335
HC10 - 25 SNP Threshold,607:465,142,0.23393739703459637,30,75,2.5
HC10 - 10 SNP Threshold,607:958,351,0.3663883089770355,128,494,3.859375
HC10 - 5 SNP Threshold,607:1276,669,0.524294670846395,159,838,5.270440251572327
HC10 - 0 SNP Threshold,607:2250,1643,0.7302222222222222,211,1857,8.800947867298579
HC10 - ST,607:2656,2049,0.771460843373494,226,2275,10.06637168141593
HC10 - HC0 (indistinguishable),607:2289,1682,0.7348186981214504,213,1895,8.896713615023474
HC10 - HC2,607:1489,882,0.5923438549361988,178,1060,5.955056179775281
HC10 - HC5,607:1030,423,0.41067961165048544,131,554,4.229007633587786
HC10 - HC20,607:217,390,0.642504118616145,0,0,na
HC10 - HC50,607:33,574,0.9456342668863262,0,0,na
HC10 - HC100,607:11,596,0.9818780889621087,0,0,na
HC10 - HC200,607:6,601,0.9901153212520593,0,0,na
HC10 - HC400,607:2,605,0.9967051070840197,0,0,na
HC10 - HC1100 (cgST Cplx),607:1,606,0.9983525535420099,0,0,na
HC10 - HC1500,607:1,606,0.9983525535420099,0,0,na
HC10 - HC2000,607:1,606,0.9983525535420099,0,0,na
HC10 - HC2350 (subsp.),607:1,606,0.9983525535420099,0,0,na
HC20 - Genotype,217:60,157,0.7235023041474654,3,11,3.6666666666666665
HC20 - Lineage,217:4,213,0.9815668202764977,0,0,na
HC20 - Clade,217:10,207,0.9539170506912442,1,2,2.0
HC20 - Sub-Clade,217:24,193,0.8894009216589862,0,0,na
HC20 - Sub-sub-Clade,217:3,214,0.9861751152073732,0,0,na
HC20 - Sub-sub-sub-Clade,217:5,212,0.9769585253456221,2,7,3.5
HC20 - SNP Address,217:2250,2033,0.9035555555555556,87,2121,24.379310344827587
HC20 - 250 SNP Threshold,217:7,210,0.967741935483871,0,0,na
HC20 - 100 SNP Threshold,217:61,156,0.7188940092165899,7,19,2.7142857142857144
HC20 - 50 SNP Threshold,217:191,26,0.11981566820276497,17,52,3.0588235294117645
HC20 - 25 SNP Threshold,217:465,248,0.5333333333333333,47,304,6.468085106382978
HC20 - 10 SNP Threshold,217:958,741,0.7734864300626305,77,823,10.688311688311689
HC20 - 5 SNP Threshold,217:1276,1059,0.8299373040752351,78,1142,14.64102564102564
HC20 - 0 SNP Threshold,217:2250,2033,0.9035555555555556,87,2121,24.379310344827587
HC20 - ST,217:2656,2439,0.9182981927710844,88,2527,28.71590909090909
HC20 - HC0 (indistinguishable),217:2289,2072,0.9051987767584098,86,2158,25.093023255813954
HC20 - HC2,217:1489,1272,0.8542646071188718,79,1351,17.10126582278481
HC20 - HC5,217:1030,813,0.7893203883495146,75,888,11.84
HC20 - HC10,217:607,390,0.642504118616145,60,450,7.5
HC20 - HC50,217:33,184,0.847926267281106,0,0,na
HC20 - HC100,217:11,206,0.9493087557603687,0,0,na
HC20 - HC200,217:6,211,0.9723502304147466,0,0,na
HC20 - HC400,217:2,215,0.9907834101382489,0,0,na
HC20 - HC1100 (cgST Cplx),217:1,216,0.9953917050691244,0,0,na
HC20 - HC1500,217:1,216,0.9953917050691244,0,0,na
HC20 - HC2000,217:1,216,0.9953917050691244,0,0,na
HC20 - HC2350 (subsp.),217:1,216,0.9953917050691244,0,0,na
HC50 - Genotype,33:60,27,0.45,4,38,9.5
HC50 - Lineage,33:4,29,0.8787878787878788,0,0,na
HC50 - Clade,33:10,23,0.696969696969697,1,2,2.0
HC50 - Sub-Clade,33:24,9,0.2727272727272727,3,25,8.333333333333334
HC50 - Sub-sub-Clade,33:3,30,0.9090909090909091,2,5,2.5
HC50 - Sub-sub-sub-Clade,33:5,28,0.8484848484848485,2,8,4.0
HC50 - SNP Address,33:2250,2217,0.9853333333333333,21,2239,106.61904761904762
HC50 - 250 SNP Threshold,33:7,26,0.7878787878787878,0,0,na
HC50 - 100 SNP Threshold,33:61,28,0.45901639344262296,5,38,7.6
HC50 - 50 SNP Threshold,33:191,158,0.8272251308900523,13,174,13.384615384615385
HC50 - 25 SNP Threshold,33:465,432,0.9290322580645162,17,452,26.58823529411765
HC50 - 10 SNP Threshold,33:958,925,0.965553235908142,21,948,45.142857142857146
HC50 - 5 SNP Threshold,33:1276,1243,0.9741379310344828,21,1266,60.285714285714285
HC50 - 0 SNP Threshold,33:2250,2217,0.9853333333333333,21,2239,106.61904761904762
HC50 - ST,33:2656,2623,0.9875753012048193,21,2644,125.9047619047619
HC50 - HC0 (indistinguishable),33:2289,2256,0.9855832241153342,21,2277,108.42857142857143
HC50 - HC2,33:1489,1456,0.9778374748153122,20,1476,73.8
HC50 - HC5,33:1030,997,0.9679611650485437,20,1017,50.85
HC50 - HC10,33:607,574,0.9456342668863262,18,592,32.888888888888886
HC50 - HC20,33:217,184,0.847926267281106,17,201,11.823529411764707
HC50 - HC100,33:11,22,0.6666666666666666,0,0,na
HC50 - HC200,33:6,27,0.8181818181818182,0,0,na
HC50 - HC400,33:2,31,0.9393939393939394,0,0,na
HC50 - HC1100 (cgST Cplx),33:1,32,0.9696969696969697,0,0,na
HC50 - HC1500,33:1,32,0.9696969696969697,0,0,na
HC50 - HC2000,33:1,32,0.9696969696969697,0,0,na
HC50 - HC2350 (subsp.),33:1,32,0.9696969696969697,0,0,na
HC100 - Genotype,11:60,49,0.8166666666666667,3,55,18.333333333333332
HC100 - Lineage,11:4,7,0.6363636363636364,0,0,na
HC100 - Clade,11:10,1,0.09090909090909091,2,10,5.0
HC100 - Sub-Clade,11:24,13,0.5416666666666666,3,32,10.666666666666666
HC100 - Sub-sub-Clade,11:3,8,0.7272727272727273,1,3,3.0
HC100 - Sub-sub-sub-Clade,11:5,6,0.5454545454545454,1,5,5.0
HC100 - SNP Address,11:2250,2239,0.9951111111111111,7,2246,320.85714285714283
HC100 - 250 SNP Threshold,11:7,4,0.36363636363636365,0,0,na
HC100 - 100 SNP Threshold,11:61,50,0.819672131147541,4,54,13.5
HC100 - 50 SNP Threshold,11:191,180,0.9424083769633508,6,186,31.0
HC100 - 25 SNP Threshold,11:465,454,0.9763440860215054,7,461,65.85714285714286
HC100 - 10 SNP Threshold,11:958,947,0.988517745302714,7,954,136.28571428571428
HC100 - 5 SNP Threshold,11:1276,1265,0.9913793103448276,7,1272,181.71428571428572
HC100 - 0 SNP Threshold,11:2250,2239,0.9951111111111111,7,2246,320.85714285714283
HC100 - ST,11:2656,2645,0.9958584337349398,7,2652,378.85714285714283
HC100 - HC0 (indistinguishable),11:2289,2278,0.9951944080384447,7,2285,326.42857142857144
HC100 - HC2,11:1489,1478,0.9926124916051041,7,1485,212.14285714285714
HC100 - HC5,11:1030,1019,0.9893203883495145,7,1026,146.57142857142858
HC100 - HC10,11:607,596,0.9818780889621087,7,603,86.14285714285714
HC100 - HC20,11:217,206,0.9493087557603687,7,213,30.428571428571427
HC100 - HC50,11:33,22,0.6666666666666666,3,25,8.333333333333334
HC100 - HC200,11:6,5,0.45454545454545453,0,0,na
HC100 - HC400,11:2,9,0.8181818181818182,0,0,na
HC100 - HC1100 (cgST Cplx),11:1,10,0.9090909090909091,0,0,na
HC100 - HC1500,11:1,10,0.9090909090909091,0,0,na
HC100 - HC2000,11:1,10,0.9090909090909091,0,0,na
HC100 - HC2350 (subsp.),11:1,10,0.9090909090909091,0,0,na
HC200 - Genotype,6:60,54,0.9,2,57,28.5
HC200 - Lineage,6:4,2,0.3333333333333333,0,0,na
HC200 - Clade,6:10,4,0.4,2,13,6.5
HC200 - Sub-Clade,6:24,18,0.75,2,30,15.0
HC200 - Sub-sub-Clade,6:3,3,0.5,1,3,3.0
HC200 - Sub-sub-sub-Clade,6:5,1,0.16666666666666666,1,5,5.0
HC200 - SNP Address,6:2250,2244,0.9973333333333333,5,2249,449.8
HC200 - 250 SNP Threshold,6:7,1,0.14285714285714285,1,2,2.0
HC200 - 100 SNP Threshold,6:61,55,0.9016393442622951,3,58,19.333333333333332
HC200 - 50 SNP Threshold,6:191,185,0.9685863874345549,5,190,38.0
HC200 - 25 SNP Threshold,6:465,459,0.9870967741935484,5,464,92.8
HC200 - 10 SNP Threshold,6:958,952,0.9937369519832986,5,957,191.4
HC200 - 5 SNP Threshold,6:1276,1270,0.9952978056426333,5,1275,255.0
HC200 - 0 SNP Threshold,6:2250,2244,0.9973333333333333,5,2249,449.8
HC200 - ST,6:2656,2650,0.9977409638554217,5,2655,531.0
HC200 - HC0 (indistinguishable),6:2289,2283,0.9973787680209698,5,2288,457.6
HC200 - HC2,6:1489,1483,0.9959704499664204,5,1488,297.6
HC200 - HC5,6:1030,1024,0.9941747572815534,5,1029,205.8
HC200 - HC10,6:607,601,0.9901153212520593,5,606,121.2
HC200 - HC20,6:217,211,0.9723502304147466,5,216,43.2
HC200 - HC50,6:33,27,0.8181818181818182,2,29,14.5
HC200 - HC100,6:11,5,0.45454545454545453,1,6,6.0
HC200 - HC400,6:2,4,0.6666666666666666,0,0,na
HC200 - HC1100 (cgST Cplx),6:1,5,0.8333333333333334,0,0,na
HC200 - HC1500,6:1,5,0.8333333333333334,0,0,na
HC200 - HC2000,6:1,5,0.8333333333333334,0,0,na
HC200 - HC2350 (subsp.),6:1,5,0.8333333333333334,0,0,na
HC400 - Genotype,2:60,58,0.9666666666666667,2,61,30.5
HC400 - Lineage,2:4,2,0.5,2,5,2.5
HC400 - Clade,2:10,8,0.8,2,12,6.0
HC400 - Sub-Clade,2:24,22,0.9166666666666666,1,24,24.0
HC400 - Sub-sub-Clade,2:3,1,0.3333333333333333,1,3,3.0
HC400 - Sub-sub-sub-Clade,2:5,3,0.6,1,5,5.0
HC400 - SNP Address,2:2250,2248,0.9991111111111111,2,2250,1125.0
HC400 - 250 SNP Threshold,2:7,5,0.7142857142857143,2,7,3.5
HC400 - 100 SNP Threshold,2:61,59,0.9672131147540983,2,61,30.5
HC400 - 50 SNP Threshold,2:191,189,0.9895287958115183,2,191,95.5
HC400 - 25 SNP Threshold,2:465,463,0.9956989247311828,2,465,232.5
HC400 - 10 SNP Threshold,2:958,956,0.9979123173277662,2,958,479.0
HC400 - 5 SNP Threshold,2:1276,1274,0.9984326018808778,2,1276,638.0
HC400 - 0 SNP Threshold,2:2250,2248,0.9991111111111111,2,2250,1125.0
HC400 - ST,2:2656,2654,0.9992469879518072,2,2656,1328.0
HC400 - HC0 (indistinguishable),2:2289,2287,0.9991262560069899,2,2289,1144.5
HC400 - HC2,2:1489,1487,0.9986568166554735,2,1489,744.5
HC400 - HC5,2:1030,1028,0.9980582524271845,2,1030,515.0
HC400 - HC10,2:607,605,0.9967051070840197,2,607,303.5
HC400 - HC20,2:217,215,0.9907834101382489,2,217,108.5
HC400 - HC50,2:33,31,0.9393939393939394,2,33,16.5
HC400 - HC100,2:11,9,0.8181818181818182,2,11,5.5
HC400 - HC200,2:6,4,0.6666666666666666,2,6,3.0
HC400 - HC1100 (cgST Cplx),2:1,1,0.5,0,0,na
HC400 - HC1500,2:1,1,0.5,0,0,na
HC400 - HC2000,2:1,1,0.5,0,0,na
HC400 - HC2350 (subsp.),2:1,1,0.5,0,0,na
HC1100 (cgST Cplx) - Genotype,1:60,59,0.9833333333333333,1,60,60.0
HC1100 (cgST Cplx) - Lineage,1:4,3,0.75,1,4,4.0
HC1100 (cgST Cplx) - Clade,1:10,9,0.9,1,10,10.0
HC1100 (cgST Cplx) - Sub-Clade,1:24,23,0.9583333333333334,1,24,24.0
HC1100 (cgST Cplx) - Sub-sub-Clade,1:3,2,0.6666666666666666,1,3,3.0
HC1100 (cgST Cplx) - Sub-sub-sub-Clade,1:5,4,0.8,1,5,5.0
HC1100 (cgST Cplx) - SNP Address,1:2250,2249,0.9995555555555555,1,2250,2250.0
HC1100 (cgST Cplx) - 250 SNP Threshold,1:7,6,0.8571428571428571,1,7,7.0
HC1100 (cgST Cplx) - 100 SNP Threshold,1:61,60,0.9836065573770492,1,61,61.0
HC1100 (cgST Cplx) - 50 SNP Threshold,1:191,190,0.9947643979057592,1,191,191.0
HC1100 (cgST Cplx) - 25 SNP Threshold,1:465,464,0.9978494623655914,1,465,465.0
HC1100 (cgST Cplx) - 10 SNP Threshold,1:958,957,0.9989561586638831,1,958,958.0
HC1100 (cgST Cplx) - 5 SNP Threshold,1:1276,1275,0.9992163009404389,1,1276,1276.0
HC1100 (cgST Cplx) - 0 SNP Threshold,1:2250,2249,0.9995555555555555,1,2250,2250.0
HC1100 (cgST Cplx) - ST,1:2656,2655,0.9996234939759037,1,2656,2656.0
HC1100 (cgST Cplx) - HC0 (indistinguishable),1:2289,2288,0.999563128003495,1,2289,2289.0
HC1100 (cgST Cplx) - HC2,1:1489,1488,0.9993284083277367,1,1489,1489.0
HC1100 (cgST Cplx) - HC5,1:1030,1029,0.9990291262135922,1,1030,1030.0
HC1100 (cgST Cplx) - HC10,1:607,606,0.9983525535420099,1,607,607.0
HC1100 (cgST Cplx) - HC20,1:217,216,0.9953917050691244,1,217,217.0
HC1100 (cgST Cplx) - HC50,1:33,32,0.9696969696969697,1,33,33.0
HC1100 (cgST Cplx) - HC100,1:11,10,0.9090909090909091,1,11,11.0
HC1100 (cgST Cplx) - HC200,1:6,5,0.8333333333333334,1,6,6.0
HC1100 (cgST Cplx) - HC400,1:2,1,0.5,1,2,2.0
HC1100 (cgST Cplx) - HC1500,1:1,0,na,0,0,na
HC1100 (cgST Cplx) - HC2000,1:1,0,na,0,0,na
HC1100 (cgST Cplx) - HC2350 (subsp.),1:1,0,na,0,0,na
HC1500 - Genotype,1:60,59,0.9833333333333333,1,60,60.0
HC1500 - Lineage,1:4,3,0.75,1,4,4.0
HC1500 - Clade,1:10,9,0.9,1,10,10.0
HC1500 - Sub-Clade,1:24,23,0.9583333333333334,1,24,24.0
HC1500 - Sub-sub-Clade,1:3,2,0.6666666666666666,1,3,3.0
HC1500 - Sub-sub-sub-Clade,1:5,4,0.8,1,5,5.0
HC1500 - SNP Address,1:2250,2249,0.9995555555555555,1,2250,2250.0
HC1500 - 250 SNP Threshold,1:7,6,0.8571428571428571,1,7,7.0
HC1500 - 100 SNP Threshold,1:61,60,0.9836065573770492,1,61,61.0
HC1500 - 50 SNP Threshold,1:191,190,0.9947643979057592,1,191,191.0
HC1500 - 25 SNP Threshold,1:465,464,0.9978494623655914,1,465,465.0
HC1500 - 10 SNP Threshold,1:958,957,0.9989561586638831,1,958,958.0
HC1500 - 5 SNP Threshold,1:1276,1275,0.9992163009404389,1,1276,1276.0
HC1500 - 0 SNP Threshold,1:2250,2249,0.9995555555555555,1,2250,2250.0
HC1500 - ST,1:2656,2655,0.9996234939759037,1,2656,2656.0
HC1500 - HC0 (indistinguishable),1:2289,2288,0.999563128003495,1,2289,2289.0
HC1500 - HC2,1:1489,1488,0.9993284083277367,1,1489,1489.0
HC1500 - HC5,1:1030,1029,0.9990291262135922,1,1030,1030.0
HC1500 - HC10,1:607,606,0.9983525535420099,1,607,607.0
HC1500 - HC20,1:217,216,0.9953917050691244,1,217,217.0
HC1500 - HC50,1:33,32,0.9696969696969697,1,33,33.0
HC1500 - HC100,1:11,10,0.9090909090909091,1,11,11.0
HC1500 - HC200,1:6,5,0.8333333333333334,1,6,6.0
HC1500 - HC400,1:2,1,0.5,1,2,2.0
HC1500 - HC1100 (cgST Cplx),1:1,0,na,0,0,na
HC1500 - HC2000,1:1,0,na,0,0,na
HC1500 - HC2350 (subsp.),1:1,0,na,0,0,na
HC2000 - Genotype,1:60,59,0.9833333333333333,1,60,60.0
HC2000 - Lineage,1:4,3,0.75,1,4,4.0
HC2000 - Clade,1:10,9,0.9,1,10,10.0
HC2000 - Sub-Clade,1:24,23,0.9583333333333334,1,24,24.0
HC2000 - Sub-sub-Clade,1:3,2,0.6666666666666666,1,3,3.0
HC2000 - Sub-sub-sub-Clade,1:5,4,0.8,1,5,5.0
HC2000 - SNP Address,1:2250,2249,0.9995555555555555,1,2250,2250.0
HC2000 - 250 SNP Threshold,1:7,6,0.8571428571428571,1,7,7.0
HC2000 - 100 SNP Threshold,1:61,60,0.9836065573770492,1,61,61.0
HC2000 - 50 SNP Threshold,1:191,190,0.9947643979057592,1,191,191.0
